#{"t_start": 1733819552.65592, "env_id": "None"}
r,l,t
13.0,13,0.467746
15.0,15,0.468239
15.0,15,0.468251
17.0,17,0.469519
18.0,18,0.469748
21.0,21,0.472033
14.0,14,0.474573
31.0,31,0.475773
32.0,32,0.47601
13.0,13,0.476433
22.0,22,0.487474
19.0,19,0.491156
13.0,13,0.501148
11.0,11,0.505451
32.0,32,0.509136
13.0,13,0.510298
31.0,31,0.510354
21.0,21,0.511043
14.0,14,0.539827
18.0,18,0.539896
37.0,37,0.548403
32.0,32,0.561384
42.0,42,0.562078
18.0,18,0.574001
23.0,23,0.57893
37.0,37,0.579589
42.0,42,0.583826
21.0,21,0.589935
53.0,53,0.591548
32.0,32,0.595653
23.0,23,0.597295
30.0,30,0.611485
27.0,27,0.612092
21.0,21,0.617746
36.0,36,0.617811
23.0,23,0.618486
22.0,22,0.622249
34.0,34,0.634163
57.0,57,0.641418
14.0,14,0.648922
13.0,13,0.648954
16.0,16,0.661888
26.0,26,0.662196
12.0,12,0.662217
30.0,30,0.674313
38.0,38,0.683004
23.0,23,0.683317
19.0,19,0.689212
21.0,21,0.689994
28.0,28,0.698726
36.0,36,0.699021
22.0,22,0.705865
47.0,47,0.715214
32.0,32,0.719944
30.0,30,0.725283
21.0,21,0.726018
19.0,19,0.733145
31.0,31,0.743842
39.0,39,0.743871
54.0,54,0.746683
16.0,16,0.747183
25.0,25,0.750774
33.0,33,0.75207
18.0,18,0.755207
38.0,38,0.757002
42.0,42,0.760494
28.0,28,0.762887
35.0,35,0.764775
29.0,29,0.7664
27.0,27,0.767794
17.0,17,0.767804
14.0,14,0.768227
56.0,56,0.771032
61.0,61,0.771042
67.0,67,0.773009
14.0,14,0.773019
22.0,22,0.774002
20.0,20,0.774422
18.0,18,0.775754
24.0,24,0.776564
16.0,16,0.776572
14.0,14,0.780668
14.0,14,0.782214
31.0,31,0.785586
42.0,42,0.787382
14.0,14,0.788698
39.0,39,0.78922
43.0,43,0.790996
35.0,35,0.791214
12.0,12,0.79297
21.0,21,0.796852
21.0,21,0.798577
63.0,63,0.799533
36.0,36,0.799753
19.0,19,0.800165
13.0,13,0.804439
46.0,46,0.809319
76.0,76,0.811056
64.0,64,0.811859
24.0,24,0.813399
45.0,45,0.816738
51.0,51,0.81675
17.0,17,0.817179
27.0,27,0.818945
56.0,56,0.820313
21.0,21,0.820323
13.0,13,0.820941
24.0,24,0.822478
15.0,15,0.82668
26.0,26,0.826691
32.0,32,0.828307
22.0,22,0.828317
19.0,19,0.82988
32.0,32,0.83049
34.0,34,0.832678
15.0,15,0.835649
26.0,26,0.83625
98.0,98,0.837446
29.0,29,0.839667
13.0,13,0.84028
16.0,16,0.842936
42.0,42,0.843804
17.0,17,0.845376
24.0,24,0.84694
39.0,39,0.847554
15.0,15,0.852633
40.0,40,0.854936
35.0,35,0.855872
84.0,84,0.858117
34.0,34,0.858535
47.0,47,0.863555
27.0,27,0.863571
88.0,88,0.863991
30.0,30,0.866367
22.0,22,0.867579
19.0,19,0.871896
55.0,55,0.87788
35.0,35,0.8779
29.0,29,0.878587
51.0,51,0.8786
39.0,39,0.878862
93.0,93,0.880293
29.0,29,0.890077
60.0,60,0.891737
51.0,51,0.891968
34.0,34,0.891977
14.0,14,0.89773
61.0,61,0.902081
60.0,60,0.904104
70.0,70,0.905457
67.0,67,0.905728
38.0,38,0.90745
20.0,20,0.912264
59.0,59,0.91396
51.0,51,0.918158
47.0,47,0.923875
28.0,28,0.924304
35.0,35,0.931655
28.0,28,0.935721
75.0,75,0.935961
111.0,111,0.936372
18.0,18,0.942618
77.0,77,0.942645
108.0,108,0.944482
61.0,61,0.949684
113.0,113,0.952053
99.0,99,0.970854
93.0,93,0.973229
90.0,90,0.97721
96.0,96,0.985634
120.0,120,0.988389
128.0,128,1.000111
154.0,154,1.00266
96.0,96,1.007578
55.0,55,1.007988
75.0,75,1.01296
256.0,256,1.031419
147.0,147,1.031434
187.0,187,1.038886
94.0,94,1.042359
45.0,45,1.04793
95.0,95,1.047945
