#{"t_start": 1733794419.2563891, "env_id": "None"}
r,l,t
7.0,8,0.352977
7.0,8,0.354017
6.0,7,0.354858
4.0,5,0.355466
13.0,14,0.386366
2.0,3,0.386806
7.0,8,0.387803
5.0,6,0.388545
2.0,3,0.388927
7.0,8,0.537033
14.0,15,0.538954
12.0,13,0.580415
26.0,27,0.583842
7.0,8,0.631796
12.0,13,0.633405
10.0,11,0.634754
18.0,19,0.669738
5.0,6,0.670501
12.0,13,0.685422
12.0,13,0.687039
6.0,7,0.687901
10.0,11,0.702217
9.0,10,0.703467
10.0,11,0.704834
21.0,22,0.721624
46.0,47,0.740395
26.0,27,0.756944
8.0,9,0.758056
9.0,10,0.772519
12.0,13,0.774069
13.0,14,0.789707
16.0,17,0.791828
23.0,24,0.809284
10.0,11,0.810662
9.0,10,0.826661
25.0,26,0.829863
8.0,9,0.84526
47.0,48,0.866867
13.0,14,0.88313
9.0,10,0.884392
59.0,60,0.918681
79.0,80,0.955107
68.0,69,0.988994
96.0,97,1.040389
85.0,86,1.095127
38.0,39,1.114328
